case_id,activity,timestamp,source_table,source_record_id,actor,object_refs
,Pre-Application Opened,2023-01-03T09:17:00Z,wf_activity_history,WF-0000000076,USR-036,"[""PF-PERMITAPPLICATION-000017"",""PF-APPLICANT-000017"",""PF-FEEINVOICE-000017""]"
PF-PERMITAPPLICATION-000002,Fee Invoice Issued,2023-01-03T12:10:00Z,wf_form_submission,WF-0000000077,USR-043,"[""PF-PERMITAPPLICATION-000002"",""PF-PAYMENT-000002"",""PF-APPEAL-000002""]"
,Submission Withdrawn,2023-01-03T12:13:00Z,wf_activity_history,WF-0000000079,USR-015,"[""PF-PERMITAPPLICATION-000008"",""PF-REVIEW-000008"",""PF-VIOLATION-000008""]"
,Parcel Linked,2023-01-03T12:16:00Z,wf_message_delivery,WF-0000000082,USR-114,"[""PF-PERMITAPPLICATION-000014"",""PF-PROPERTY-000014"",""PF-PERMIT-000014""]"
,Pre-Application Opened,2023-01-03T12:18:00Z,wf_activity_history,WF-0000000084,USR-053,"[""PF-PERMITAPPLICATION-000018"",""PF-APPLICANT-000018"",""PF-FEEINVOICE-000018""]"
,Application Reopened,2023-01-03T12:27:00Z,wf_task_history,WF-0000000078,USR-109,"[""PF-PERMITAPPLICATION-000006"",""PF-AGENCY-000006"",""PF-CONDITION-000006""]"
,Applicant Identity Verified,2023-01-03T12:32:00Z,wf_task_history,WF-0000000083,USR-020,"[""PF-PERMITAPPLICATION-000016"",""PF-PARCEL-000016"",""PF-PAYMENT-000016""]"
,Fee Calculated,2023-01-03T15:12:00Z,wf_message_delivery,WF-0000000086,USR-093,"[""PF-PERMITAPPLICATION-000005"",""PF-FEEINVOICE-000005"",""PF-OBJECTION-000005""]"
,Application Drafted,2023-01-03T15:16:00Z,wf_form_submission,WF-0000000089,USR-098,"[""PF-PERMITAPPLICATION-000013"",""PF-PLANREVISION-000013"",""PF-CONTRACTOR-000013""]"
,Parcel Linked,2023-01-03T15:17:00Z,wf_message_delivery,WF-0000000090,USR-004,"[""PF-PERMITAPPLICATION-000015"",""PF-PROPERTY-000015"",""PF-PERMIT-000015""]"
,Fee Invoice Issued,2023-01-03T18:12:00Z,wf_form_submission,WF-0000000093,USR-077,"[""PF-PERMITAPPLICATION-000004"",""PF-PAYMENT-000004"",""PF-APPEAL-000004""]"
,Submission Withdrawn,2023-01-03T18:15:00Z,wf_activity_history,WF-0000000095,USR-049,"[""PF-PERMITAPPLICATION-000010"",""PF-REVIEW-000010"",""PF-VIOLATION-000010""]"
,Application Submitted,2023-01-03T18:16:00Z,wf_external_task,WF-0000000096,USR-082,"[""PF-PERMITAPPLICATION-000012"",""PF-DOCUMENT-000012"",""PF-INSPECTION-000012""]"
,Pre-Application Opened,2023-01-03T18:20:00Z,wf_activity_history,WF-0000000100,USR-087,"[""PF-PERMITAPPLICATION-000020"",""PF-APPLICANT-000020"",""PF-FEEINVOICE-000020""]"
,Pre-Application Opened,2023-01-03T21:21:00Z,wf_activity_history,WF-0000000108,USR-104,"[""PF-PERMITAPPLICATION-000021"",""PF-APPLICANT-000021"",""PF-FEEINVOICE-000021""]"
,Applicant Identity Verified,2023-01-03T21:35:00Z,wf_task_history,WF-0000000107,USR-071,"[""PF-PERMITAPPLICATION-000019"",""PF-PARCEL-000019"",""PF-PAYMENT-000019""]"
,Application Drafted,2023-01-04T00:19:00Z,wf_form_submission,WF-0000000114,USR-022,"[""PF-PERMITAPPLICATION-000016"",""PF-PLANREVISION-000016"",""PF-CONTRACTOR-000016""]"
,Parcel Linked,2023-01-04T00:20:00Z,wf_message_delivery,WF-0000000115,USR-055,"[""PF-PERMITAPPLICATION-000018"",""PF-PROPERTY-000018"",""PF-PERMIT-000018""]"
,Pre-Application Opened,2023-01-04T00:22:00Z,wf_activity_history,WF-0000000117,USR-121,"[""PF-PERMITAPPLICATION-000022"",""PF-APPLICANT-000022"",""PF-FEEINVOICE-000022""]"
,Application Submitted,2023-01-04T03:19:00Z,wf_external_task,WF-0000000122,USR-006,"[""PF-PERMITAPPLICATION-000015"",""PF-DOCUMENT-000015"",""PF-INSPECTION-000015""]"
,Application Drafted,2023-01-04T03:20:00Z,wf_form_submission,WF-0000000123,USR-039,"[""PF-PERMITAPPLICATION-000017"",""PF-PLANREVISION-000017"",""PF-CONTRACTOR-000017""]"
PF-PERMITAPPLICATION-000001,Additional Information Requested,2023-01-04T03:27:00Z,wf_task_history,WF-0000000118,USR-029,"[""PF-PERMITAPPLICATION-000001"",""PF-INSPECTION-000001"",""PF-PROPERTY-000001""]"
,Fee Invoice Issued,2023-01-04T06:16:00Z,wf_form_submission,WF-0000000128,USR-018,"[""PF-PERMITAPPLICATION-000008"",""PF-PAYMENT-000008"",""PF-APPEAL-000008""]"
,Submission Withdrawn,2023-01-04T06:19:00Z,wf_activity_history,WF-0000000130,USR-117,"[""PF-PERMITAPPLICATION-000014"",""PF-REVIEW-000014"",""PF-VIOLATION-000014""]"
,Pre-Application Opened,2023-01-04T06:24:00Z,wf_activity_history,WF-0000000135,USR-028,"[""PF-PERMITAPPLICATION-000024"",""PF-APPLICANT-000024"",""PF-FEEINVOICE-000024""]"
,Fee Paid,2023-01-04T09:16:00Z,wf_external_task,WF-0000000137,USR-002,"[""PF-PERMITAPPLICATION-000007"",""PF-PERMIT-000007"",""PF-APPLICANT-000007""]"
PF-PERMITAPPLICATION-000003,Additional Information Requested,2023-01-04T09:29:00Z,wf_task_history,WF-0000000136,USR-063,"[""PF-PERMITAPPLICATION-000003"",""PF-INSPECTION-000003"",""PF-PROPERTY-000003""]"
,Applicant Identity Verified,2023-01-04T09:39:00Z,wf_task_history,WF-0000000143,USR-012,"[""PF-PERMITAPPLICATION-000023"",""PF-PARCEL-000023"",""PF-PAYMENT-000023""]"
,Fee Invoice Issued,2023-01-04T12:18:00Z,wf_form_submission,WF-0000000146,USR-052,"[""PF-PERMITAPPLICATION-000010"",""PF-PAYMENT-000010"",""PF-APPEAL-000010""]"
,Application Drafted,2023-01-04T12:23:00Z,wf_form_submission,WF-0000000150,USR-090,"[""PF-PERMITAPPLICATION-000020"",""PF-PLANREVISION-000020"",""PF-CONTRACTOR-000020""]"
,Fee Paid,2023-01-04T15:18:00Z,wf_external_task,WF-0000000155,USR-036,"[""PF-PERMITAPPLICATION-000009"",""PF-PERMIT-000009"",""PF-APPLICANT-000009""]"
,Submission Withdrawn,2023-01-04T15:22:00Z,wf_activity_history,WF-0000000157,USR-041,"[""PF-PERMITAPPLICATION-000017"",""PF-REVIEW-000017"",""PF-VIOLATION-000017""]"
,Application Submitted,2023-01-04T15:23:00Z,wf_external_task,WF-0000000158,USR-074,"[""PF-PERMITAPPLICATION-000019"",""PF-DOCUMENT-000019"",""PF-INSPECTION-000019""]"
,Application Drafted,2023-01-04T15:24:00Z,wf_form_submission,WF-0000000159,USR-107,"[""PF-PERMITAPPLICATION-000021"",""PF-PLANREVISION-000021"",""PF-CONTRACTOR-000021""]"
,Additional Information Requested,2023-01-04T15:31:00Z,wf_task_history,WF-0000000154,USR-097,"[""PF-PERMITAPPLICATION-000005"",""PF-INSPECTION-000005"",""PF-PROPERTY-000005""]"
,Applicant Identity Verified,2023-01-04T15:41:00Z,wf_task_history,WF-0000000161,USR-046,"[""PF-PERMITAPPLICATION-000025"",""PF-PARCEL-000025"",""PF-PAYMENT-000025""]"
,Submission Withdrawn,2023-01-04T18:23:00Z,wf_activity_history,WF-0000000166,USR-058,"[""PF-PERMITAPPLICATION-000018"",""PF-REVIEW-000018"",""PF-VIOLATION-000018""]"
,Application Drafted,2023-01-04T18:25:00Z,wf_form_submission,WF-0000000168,USR-124,"[""PF-PERMITAPPLICATION-000022"",""PF-PLANREVISION-000022"",""PF-CONTRACTOR-000022""]"
PF-PERMITAPPLICATION-000028,Pre-Application Opened,2023-01-04T18:28:00Z,wf_activity_history,WF-0000000171,USR-096,"[""PF-PERMITAPPLICATION-000028"",""PF-APPLICANT-000028"",""PF-FEEINVOICE-000028""]"
,Application Reopened,2023-01-04T18:37:00Z,wf_task_history,WF-0000000165,USR-025,"[""PF-PERMITAPPLICATION-000016"",""PF-AGENCY-000016"",""PF-CONDITION-000016""]"
,Applicant Identity Verified,2023-01-04T18:42:00Z,wf_task_history,WF-0000000170,USR-063,"[""PF-PERMITAPPLICATION-000026"",""PF-PARCEL-000026"",""PF-PAYMENT-000026""]"
,Fee Paid,2023-01-04T21:20:00Z,wf_external_task,WF-0000000174,USR-070,"[""PF-PERMITAPPLICATION-000011"",""PF-PERMIT-000011"",""PF-APPLICANT-000011""]"
,Fee Calculated,2023-01-04T21:22:00Z,wf_message_delivery,WF-0000000175,USR-009,"[""PF-PERMITAPPLICATION-000015"",""PF-FEEINVOICE-000015"",""PF-OBJECTION-000015""]"
,Applicant Identity Verified,2023-01-04T21:43:00Z,wf_task_history,WF-0000000180,USR-080,"[""PF-PERMITAPPLICATION-000027"",""PF-PARCEL-000027"",""PF-PAYMENT-000027""]"
,Fee Invoice Issued,2023-01-05T00:22:00Z,wf_form_submission,WF-0000000183,USR-120,"[""PF-PERMITAPPLICATION-000014"",""PF-PAYMENT-000014"",""PF-APPEAL-000014""]"
,Submission Withdrawn,2023-01-05T00:25:00Z,wf_activity_history,WF-0000000185,USR-092,"[""PF-PERMITAPPLICATION-000020"",""PF-REVIEW-000020"",""PF-VIOLATION-000020""]"
,Application Drafted,2023-01-05T00:27:00Z,wf_form_submission,WF-0000000187,USR-031,"[""PF-PERMITAPPLICATION-000024"",""PF-PLANREVISION-000024"",""PF-CONTRACTOR-000024""]"
PF-PERMITAPPLICATION-000030,Pre-Application Opened,2023-01-05T00:30:00Z,wf_activity_history,WF-0000000190,USR-003,"[""PF-PERMITAPPLICATION-000030"",""PF-APPLICANT-000030"",""PF-FEEINVOICE-000030""]"
,Fee Paid,2023-01-05T03:22:00Z,wf_external_task,WF-0000000192,USR-104,"[""PF-PERMITAPPLICATION-000013"",""PF-PERMIT-000013"",""PF-APPLICANT-000013""]"
,Submission Withdrawn,2023-01-05T03:26:00Z,wf_activity_history,WF-0000000194,USR-109,"[""PF-PERMITAPPLICATION-000021"",""PF-REVIEW-000021"",""PF-VIOLATION-000021""]"
,Application Submitted,2023-01-05T03:27:00Z,wf_external_task,WF-0000000195,USR-015,"[""PF-PERMITAPPLICATION-000023"",""PF-DOCUMENT-000023"",""PF-INSPECTION-000023""]"
PF-PERMITAPPLICATION-000029,Applicant Identity Verified,2023-01-05T03:45:00Z,wf_task_history,WF-0000000198,USR-114,"[""PF-PERMITAPPLICATION-000029"",""PF-PARCEL-000029"",""PF-PAYMENT-000029""]"
,Completeness Review Started,2023-01-05T06:22:00Z,wf_activity_history,WF-0000000200,USR-088,"[""PF-PERMITAPPLICATION-000012"",""PF-CONTRACTOR-000012"",""PF-PARCEL-000012""]"
,Submission Withdrawn,2023-01-05T06:27:00Z,wf_activity_history,WF-0000000203,USR-126,"[""PF-PERMITAPPLICATION-000022"",""PF-REVIEW-000022"",""PF-VIOLATION-000022""]"
PF-PERMITAPPLICATION-000028,Parcel Linked,2023-01-05T06:30:00Z,wf_message_delivery,WF-0000000206,USR-098,"[""PF-PERMITAPPLICATION-000028"",""PF-PROPERTY-000028"",""PF-PERMIT-000028""]"
,Completeness Accepted,2023-01-05T09:20:00Z,wf_form_submission,WF-0000000210,USR-006,"[""PF-PERMITAPPLICATION-000007"",""PF-CONDITION-000007"",""PF-DOCUMENT-000007""]"
,Fee Calculated,2023-01-05T09:26:00Z,wf_message_delivery,WF-0000000213,USR-077,"[""PF-PERMITAPPLICATION-000019"",""PF-FEEINVOICE-000019"",""PF-OBJECTION-000019""]"
,Application Submitted,2023-01-05T09:29:00Z,wf_external_task,WF-0000000215,USR-049,"[""PF-PERMITAPPLICATION-000025"",""PF-DOCUMENT-000025"",""PF-INSPECTION-000025""]"
PF-PERMITAPPLICATION-000001,Zoning Approved,2023-01-05T09:32:00Z,wf_task_history,WF-0000000209,USR-034,"[""PF-PERMITAPPLICATION-000001"",""PF-APPLICANT-000001"",""PF-FEEINVOICE-000001""]"
,Pre-Application Opened,2023-01-05T09:33:00Z,wf_activity_history,WF-0000000219,USR-054,"[""PF-PERMITAPPLICATION-000033"",""PF-APPLICANT-000033"",""PF-FEEINVOICE-000033""]"
PF-PERMITAPPLICATION-000031,Applicant Identity Verified,2023-01-05T09:47:00Z,wf_task_history,WF-0000000218,USR-021,"[""PF-PERMITAPPLICATION-000031"",""PF-PARCEL-000031"",""PF-PAYMENT-000031""]"
,Fee Invoice Issued,2023-01-05T12:26:00Z,wf_form_submission,WF-0000000221,USR-061,"[""PF-PERMITAPPLICATION-000018"",""PF-PAYMENT-000018"",""PF-APPEAL-000018""]"
,Submission Withdrawn,2023-01-05T12:29:00Z,wf_activity_history,WF-0000000223,USR-033,"[""PF-PERMITAPPLICATION-000024"",""PF-REVIEW-000024"",""PF-VIOLATION-000024""]"
,Application Submitted,2023-01-05T12:30:00Z,wf_external_task,WF-0000000224,USR-066,"[""PF-PERMITAPPLICATION-000026"",""PF-DOCUMENT-000026"",""PF-INSPECTION-000026""]"
PF-PERMITAPPLICATION-000032,Applicant Identity Verified,2023-01-05T12:48:00Z,wf_task_history,WF-0000000227,USR-038,"[""PF-PERMITAPPLICATION-000032"",""PF-PARCEL-000032"",""PF-PAYMENT-000032""]"
,Fee Paid,2023-01-05T15:26:00Z,wf_external_task,WF-0000000230,USR-045,"[""PF-PERMITAPPLICATION-000017"",""PF-PERMIT-000017"",""PF-APPLICANT-000017""]"
,Application Submitted,2023-01-05T15:31:00Z,wf_external_task,WF-0000000233,USR-083,"[""PF-PERMITAPPLICATION-000027"",""PF-DOCUMENT-000027"",""PF-INSPECTION-000027""]"
,Pre-Application Opened,2023-01-05T15:35:00Z,wf_activity_history,WF-0000000237,USR-088,"[""PF-PERMITAPPLICATION-000035"",""PF-APPLICANT-000035"",""PF-FEEINVOICE-000035""]"
,Fee Invoice Issued,2023-01-05T18:28:00Z,wf_form_submission,WF-0000000240,USR-095,"[""PF-PERMITAPPLICATION-000020"",""PF-PAYMENT-000020"",""PF-APPEAL-000020""]"
PF-PERMITAPPLICATION-000030,Application Drafted,2023-01-05T18:33:00Z,wf_form_submission,WF-0000000244,USR-006,"[""PF-PERMITAPPLICATION-000030"",""PF-PLANREVISION-000030"",""PF-CONTRACTOR-000030""]"
,Applicant Identity Verified,2023-01-05T18:50:00Z,wf_task_history,WF-0000000246,USR-072,"[""PF-PERMITAPPLICATION-000034"",""PF-PARCEL-000034"",""PF-PAYMENT-000034""]"
,Fee Calculated,2023-01-05T21:30:00Z,wf_message_delivery,WF-0000000250,USR-018,"[""PF-PERMITAPPLICATION-000023"",""PF-FEEINVOICE-000023"",""PF-OBJECTION-000023""]"
PF-PERMITAPPLICATION-000029,Application Submitted,2023-01-05T21:33:00Z,wf_external_task,WF-0000000252,USR-117,"[""PF-PERMITAPPLICATION-000029"",""PF-DOCUMENT-000029"",""PF-INSPECTION-000029""]"
PF-PERMITAPPLICATION-000031,Application Drafted,2023-01-05T21:34:00Z,wf_form_submission,WF-0000000253,USR-023,"[""PF-PERMITAPPLICATION-000031"",""PF-PLANREVISION-000031"",""PF-CONTRACTOR-000031""]"
,Parcel Linked,2023-01-05T21:35:00Z,wf_message_delivery,WF-0000000254,USR-056,"[""PF-PERMITAPPLICATION-000033"",""PF-PROPERTY-000033"",""PF-PERMIT-000033""]"
,Additional Information Requested,2023-01-05T21:41:00Z,wf_task_history,WF-0000000248,USR-013,"[""PF-PERMITAPPLICATION-000015"",""PF-INSPECTION-000015"",""PF-PROPERTY-000015""]"
,Fee Invoice Issued,2023-01-06T00:30:00Z,wf_form_submission,WF-0000000258,USR-002,"[""PF-PERMITAPPLICATION-000022"",""PF-PAYMENT-000022"",""PF-APPEAL-000022""]"
PF-PERMITAPPLICATION-000028,Submission Withdrawn,2023-01-06T00:33:00Z,wf_activity_history,WF-0000000260,USR-101,"[""PF-PERMITAPPLICATION-000028"",""PF-REVIEW-000028"",""PF-VIOLATION-000028""]"
,Application Reopened,2023-01-06T00:47:00Z,wf_task_history,WF-0000000259,USR-068,"[""PF-PERMITAPPLICATION-000026"",""PF-AGENCY-000026"",""PF-CONDITION-000026""]"
,Applicant Identity Verified,2023-01-06T00:52:00Z,wf_task_history,WF-0000000264,USR-106,"[""PF-PERMITAPPLICATION-000036"",""PF-PARCEL-000036"",""PF-PAYMENT-000036""]"
PF-PERMITAPPLICATION-000001,Heritage Approved,2023-01-06T03:20:00Z,wf_external_task,WF-0000000266,USR-037,"[""PF-PERMITAPPLICATION-000001"",""PF-PLANREVISION-000001"",""PF-CONTRACTOR-000001""]"
,Fee Paid,2023-01-06T03:30:00Z,wf_external_task,WF-0000000269,USR-113,"[""PF-PERMITAPPLICATION-000021"",""PF-PERMIT-000021"",""PF-APPLICANT-000021""]"
,Fee Calculated,2023-01-06T03:32:00Z,wf_message_delivery,WF-0000000270,USR-052,"[""PF-PERMITAPPLICATION-000025"",""PF-FEEINVOICE-000025"",""PF-OBJECTION-000025""]"
,Fee Invoice Issued,2023-01-06T06:32:00Z,wf_form_submission,WF-0000000278,USR-036,"[""PF-PERMITAPPLICATION-000024"",""PF-PAYMENT-000024"",""PF-APPEAL-000024""]"
PF-PERMITAPPLICATION-000030,Submission Withdrawn,2023-01-06T06:35:00Z,wf_activity_history,WF-0000000280,USR-008,"[""PF-PERMITAPPLICATION-000030"",""PF-REVIEW-000030"",""PF-VIOLATION-000030""]"
PF-PERMITAPPLICATION-000032,Application Submitted,2023-01-06T06:36:00Z,wf_external_task,WF-0000000281,USR-041,"[""PF-PERMITAPPLICATION-000032"",""PF-DOCUMENT-000032"",""PF-INSPECTION-000032""]"
,Pre-Application Opened,2023-01-06T06:40:00Z,wf_activity_history,WF-0000000285,USR-046,"[""PF-PERMITAPPLICATION-000040"",""PF-APPLICANT-000040"",""PF-FEEINVOICE-000040""]"
,Applicant Identity Verified,2023-01-06T06:54:00Z,wf_task_history,WF-0000000284,USR-013,"[""PF-PERMITAPPLICATION-000038"",""PF-PARCEL-000038"",""PF-PAYMENT-000038""]"
,Fee Calculated,2023-01-06T09:34:00Z,wf_message_delivery,WF-0000000289,USR-086,"[""PF-PERMITAPPLICATION-000027"",""PF-FEEINVOICE-000027"",""PF-OBJECTION-000027""]"
,Application Drafted,2023-01-06T09:38:00Z,wf_form_submission,WF-0000000292,USR-091,"[""PF-PERMITAPPLICATION-000035"",""PF-PLANREVISION-000035"",""PF-CONTRACTOR-000035""]"
,Parcel Linked,2023-01-06T09:39:00Z,wf_message_delivery,WF-0000000293,USR-124,"[""PF-PERMITAPPLICATION-000037"",""PF-PROPERTY-000037"",""PF-PERMIT-000037""]"
,Pre-Application Opened,2023-01-06T09:41:00Z,wf_activity_history,WF-0000000295,USR-063,"[""PF-PERMITAPPLICATION-000041"",""PF-APPLICANT-000041"",""PF-FEEINVOICE-000041""]"
,Applicant Identity Verified,2023-01-06T09:55:00Z,wf_task_history,WF-0000000294,USR-030,"[""PF-PERMITAPPLICATION-000039"",""PF-PARCEL-000039"",""PF-PAYMENT-000039""]"
,Application Submitted,2023-01-06T12:38:00Z,wf_external_task,WF-0000000300,USR-075,"[""PF-PERMITAPPLICATION-000034"",""PF-DOCUMENT-000034"",""PF-INSPECTION-000034""]"
,Application Drafted,2023-01-06T12:39:00Z,wf_form_submission,WF-0000000301,USR-108,"[""PF-PERMITAPPLICATION-000036"",""PF-PLANREVISION-000036"",""PF-CONTRACTOR-000036""]"
,Zoning Denied,2023-01-06T15:26:00Z,wf_message_delivery,WF-0000000305,USR-044,"[""PF-PERMITAPPLICATION-000009"",""PF-PARCEL-000009"",""PF-PAYMENT-000009""]"
PF-PERMITAPPLICATION-000029,Fee Calculated,2023-01-06T15:36:00Z,wf_message_delivery,WF-0000000309,USR-120,"[""PF-PERMITAPPLICATION-000029"",""PF-FEEINVOICE-000029"",""PF-OBJECTION-000029""]"
PF-PERMITAPPLICATION-000033,Submission Withdrawn,2023-01-06T15:38:00Z,wf_activity_history,WF-0000000310,USR-059,"[""PF-PERMITAPPLICATION-000033"",""PF-REVIEW-000033"",""PF-VIOLATION-000033""]"
PF-PERMITAPPLICATION-000028,Fee Invoice Issued,2023-01-06T18:36:00Z,wf_form_submission,WF-0000000318,USR-104,"[""PF-PERMITAPPLICATION-000028"",""PF-PAYMENT-000028"",""PF-APPEAL-000028""]"
,Parcel Linked,2023-01-06T18:42:00Z,wf_message_delivery,WF-0000000323,USR-048,"[""PF-PERMITAPPLICATION-000040"",""PF-PROPERTY-000040"",""PF-PERMIT-000040""]"
PF-PERMITAPPLICATION-000032,Application Reopened,2023-01-06T18:53:00Z,wf_task_history,WF-0000000319,USR-043,"[""PF-PERMITAPPLICATION-000032"",""PF-AGENCY-000032"",""PF-CONDITION-000032""]"
,Submission Withdrawn,2023-01-06T21:40:00Z,wf_activity_history,WF-0000000329,USR-093,"[""PF-PERMITAPPLICATION-000035"",""PF-REVIEW-000035"",""PF-VIOLATION-000035""]"
,Application Submitted,2023-01-06T21:41:00Z,wf_external_task,WF-0000000330,USR-126,"[""PF-PERMITAPPLICATION-000037"",""PF-DOCUMENT-000037"",""PF-INSPECTION-000037""]"
,Parcel Linked,2023-01-06T21:43:00Z,wf_message_delivery,WF-0000000332,USR-065,"[""PF-PERMITAPPLICATION-000041"",""PF-PROPERTY-000041"",""PF-PERMIT-000041""]"
,Pre-Application Opened,2023-01-06T21:45:00Z,wf_activity_history,WF-0000000334,USR-004,"[""PF-PERMITAPPLICATION-000045"",""PF-APPLICANT-000045"",""PF-FEEINVOICE-000045""]"
,Completeness Review Started,2023-01-07T00:36:00Z,wf_activity_history,WF-0000000335,USR-072,"[""PF-PERMITAPPLICATION-000026"",""PF-CONTRACTOR-000026"",""PF-PARCEL-000026""]"
